epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3082.62,0.35251,0.36578,0.86598,0.99461,0.98335,0.993,0.9678,0.22889,0.22551,0.79569,0.000118926,0.000118926,0.000118926
85,3121.78,0.35924,0.36919,0.86963,0.99475,0.98433,0.993,0.96652,0.24854,0.23184,0.79697,0.000112323,0.000112323,0.000112323
86,3158.8,0.34693,0.35941,0.86393,0.99501,0.98205,0.99285,0.96762,0.22299,0.22406,0.79372,0.00010572,0.00010572,0.00010572
87,3194.84,0.35383,0.36135,0.8637,0.99579,0.98321,0.99343,0.96868,0.23781,0.22656,0.79507,9.91162e-05,9.91162e-05,9.91162e-05
88,3231.38,0.34901,0.35517,0.86623,0.99412,0.98362,0.99312,0.97017,0.2189,0.22222,0.79358,9.25129e-05,9.25129e-05,9.25129e-05
89,3266.69,0.35634,0.36187,0.86182,0.99552,0.98407,0.99355,0.96823,0.24656,0.22743,0.79486,8.59096e-05,8.59096e-05,8.59096e-05
90,3300.7,0.33987,0.35618,0.85841,0.99602,0.98308,0.99341,0.97025,0.22232,0.22134,0.79381,7.93063e-05,7.93063e-05,7.93063e-05
91,3339.86,0.26303,0.29504,0.8214,0.99452,0.98519,0.99308,0.96952,0.228,0.22184,0.79408,7.2703e-05,7.2703e-05,7.2703e-05
92,3374.89,0.26332,0.29376,0.81779,0.99498,0.98474,0.99294,0.96898,0.22889,0.22139,0.794,6.60997e-05,6.60997e-05,6.60997e-05
93,3412.22,0.26549,0.29388,0.81497,0.99442,0.98415,0.99278,0.96997,0.22357,0.21854,0.79314,5.94964e-05,5.94964e-05,5.94964e-05
94,3443.4,0.26074,0.28524,0.81145,0.9948,0.98533,0.99297,0.96976,0.23357,0.21995,0.7938,5.28931e-05,5.28931e-05,5.28931e-05
95,3480.52,0.25905,0.29082,0.81633,0.99507,0.98545,0.99299,0.97,0.21684,0.21653,0.79295,4.62898e-05,4.62898e-05,4.62898e-05
96,3516.84,0.2616,0.28057,0.81799,0.99552,0.98496,0.99349,0.9688,0.23706,0.22019,0.79409,3.96865e-05,3.96865e-05,3.96865e-05
97,3552.74,0.25393,0.28865,0.81378,0.99587,0.98506,0.99354,0.97056,0.22146,0.21501,0.79281,3.30832e-05,3.30832e-05,3.30832e-05
98,3589.03,0.25301,0.28004,0.80848,0.99583,0.98478,0.99361,0.97144,0.22348,0.21528,0.79278,2.64799e-05,2.64799e-05,2.64799e-05
99,3623.53,0.2566,0.28909,0.81667,0.99518,0.98479,0.99364,0.97037,0.22916,0.21579,0.79333,1.98766e-05,1.98766e-05,1.98766e-05
100,3659.04,0.26019,0.28524,0.81696,0.99581,0.98447,0.99307,0.97113,0.2241,0.21394,0.79318,1.32733e-05,1.32733e-05,1.32733e-05
